,,,,,,,,,,,,,,,,,,,,,
"43,984,753","23,075,543",,"20,909,210",,DR DATE,,CHECK DATE,,DR #,,,J2N,JKB,NCK,,,,,,,
,,,PDC's,,,,,,,,"23,075,543","14,135,284","6,632,438","2,307,820",,,,,,,
,,,23-Mar-Mon,,Jun-30- Tue,,15842,,,,"1,078,730.73",,,,,,,,,,
,,,31-Mar-Tue,,Jun-30- Tue,,"15,906",,,,"1,290,960.96",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0,JAN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0,FEB,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0,MAR,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0,APR,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0,MAY,,,,,,,,,,,,,,,,,,,
,,,27-Feb-Fri,,30-Jun-Tue,,15743,,,,"1,648,640.95","1,648,640.95",,,,,,"4,429,337.71","1,078,730.73",0.00,
,,,27-Feb-Fri,,30-Jun-Tue,,15747,,,,"1,489,735.80","1,489,735.80",,,,,,,,,
,,,23-Mar-Mon,,30-Jun-Tue,,15842,,,,"1,078,730.73",,"1,078,730.73",,,,,,,,
,,,31-Mar-Tue,,30-Jun-Tue,,15906,,,,"1,290,960.96","1,290,960.96",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"5,508,068",JUN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00,"5,553,707.48","2,307,820.25",
,,,09-Mar-Mon,,Jul-31- Fri,,15778,,,,"3,453,694.97",,"3,453,694.97",,,,,,,,
,,,09-Mar-Mon,,Jul-31- Fri,,15781,,,,"2,100,012.51",,"2,100,012.51",,,,,,,,
,,,31-Mar-Tue,,Jul-31- Fri,,15908,,,,"2,307,820.25",,,"2,307,820.25",,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"7,861,528",JUL,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"9,705,946.78",0.00,0.00,
,,,07-Apr-Tue,,Aug-31- Mon,,15926,,,,"2,811,375.00","2,811,375.00",,,,,,,,,
,,,21-Apr-Tue,,Aug-31- Mon,,15947,,,,"1,315,795.21","1,315,795.21",,,,,,,,,
,,,11-May-Mon,,Aug-31- Mon,,16010,,,,"3,121,709.39","3,121,709.39",,,,,,,,,
,,,15-May-Fri,,Aug-31- Mon,,16015,,,,"2,457,067.18","2,457,067.18",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"9,705,947",AUG,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0,SEP,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0,OCT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0,NOV,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0,DEC,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,DR DATE,,,,DR #,,interest,,items,,cbm,,,J2N,JKB,NCK,
,"12,328,283",,FOR CHECK COLLECTION,,,,"12,328,283",,,,"221,026.32",,"11,406,791.30",,"700,465.50",,,"12,328,283",0,0,
,,,,,11-May-Mon,,,,16010,,,,"3,121,709.39",,,,,,,,
,,,,,11-May-Mon,,,,16011,,,,,,"213,013.50",,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,26-May-Tue,,,,16019,,,,"268,630.94",,,,,"268,630.94",,,
,,,,,26-May-Tue,,,,16020,,,,,,"14,994.00",,,"14,994.00",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,01-Jun-Mon,,,,16023,,,,"579,812.31",,,,,"579,812.31",,,
,,,,,01-Jun-Mon,,,,16024,,,,,,"29,211.00",,,"29,211.00",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,15-Jun-Mon,,,,16048,,,,"916,010.52",,,,,"916,010.52",,,
,,,,,15-Jun-Mon,,,,16049,,,,,,"45,129.00",,,"45,129.00",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,15-Jun-Mon,,,,16050,,,,"4,697,186.97",,,,,"4,697,186.97",,,
,,,,,15-Jun-Mon,,,,16051,,,,,,"201,337.50",,,"201,337.50",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,18-Jun-Thu,,,,16063,,,,"2,195,662.56",,,,,"2,195,662.56",,,
,,,,,18-Jun-Thu,,,,16064,,,,,,"221,676.00",,,"221,676.00",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,18-Jun-Thu,,,,16065,,,,"2,749,488.00",,,,,"2,749,488.00",,,
,,,,,18-Jun-Thu,,,,16066,,,,,,"188,118.00",,,"188,118.00",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,18-Jun-Thu,,,,16067,,"221,026.32",,,,,,,"221,026.32",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,CNY AMOUNT,,CNY RATE,1.05,,,"10,500",,,,items,,cbm,,,J2N,JKB,NCK,
,"8,580,927",,FOR DELIVERY,,,,,,"8,580,926.97",,,,"7,942,820.97",,"638,106.00",,,"2,479,755","3,050,586","3,050,586",
,,,"175,380.00",1.05,9.3745,,XY - 44 bags,,,,,,"1,726,304.80",,,,,,,,
,,,,,"10,500.00",,CBM,,,,,,,,0.00,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,"229,319.00",1.05,9.3520,,MyFriend- 134 bags,,,,,,"2,251,820.85",,,,,"2,251,820.85",,,
,,,21.71,,"10,500.0000",,CBM,,,,,,,,"227,934",,,"227,934.00",,,
,,,,,,,,,,,,,,,,,,,,,
,,,"321,730.00",1.05,9.2310,,Dong - 83 bags,,,,,,"3,118,384.11",,,,50%,,"1,559,192.06","1,559,192.06",
,,,17.27,,"10,500.00",,CBM,,,,,,,,"181,377.00",,50%,,"90,688.50","90,688.50",
,,,,,,,,,,,,,,,,,,,,,
,,,"175,380.00",1.05,9.2310,,XY - 44 bags,,,,,,"1,699,879.42",,,,50%,,"849,939.71","849,939.71",
,,,6.6020,,"10,500.00",,CBM,,,,,,,,"69,321.00",,50%,,"34,660.50","34,660.50",
,,,,,,,,,,,,,,,,,,,,,
,,,"42,368.00",1.05,9.2310,,Linda - 19 bags,,,,,,"410,653.96",,,,50%,,"205,326.98","205,326.98",
,,,3.1630,,"10,500.00",,CBM,,,,,,,,"33,211.50",,50%,,"16,605.75","16,605.75",
,,,,,,,,,,,,,,,,,,,,,
,,,"47,674.00",1.05,9.2310,,Linda - 75 bags,,,,,,"462,082.63",,,,50%,,"231,041.32","231,041.32",
,,,12.03,,"10,500.00",,CBM,,,,,,,,"126,262.50",,50%,,"63,131.25","63,131.25",
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,J2N,JKB,NCK
,,,,,,,,,,,,,,,,,,JUN,"4,429,337.71","1,078,730.73",0.00
,,,,,,,,,,,,,,,,,,JUL,0.00,"5,553,707.48","2,307,820.25"
,,,,,,,,,,,,,,,,,,AUG,"9,705,946.78",0.00,0.00
,,,,,,,,,,,,,,,,,,DR,"12,328,283",0,0
,,,,,,,,,,,,,,,,,,CHINA,"2,479,755","3,050,586","3,050,586"
,,,,,,,,,,,,,,,,,,TOTAL,"28,943,322.46","9,683,024.27","5,358,406.31"
,,,,,,,,,,,,,,,,,,GRAND ,"43,984,753.04",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,nck,,,,,,,,,,,,
,,,,,DELIVERY DATE,DR #,DUE DATE,,DATE OF CHECK,DAYS,CHECK AMOUNT,,INTEREST DUE,,,,,,,,
,,,,,23-Mar-Mon,15842,May-28- Thu,,Jul-31- Fri,65,"2,307,820.25",1.00%,"50,002.77",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"50,002.77",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,DELIVERY DATE,DR #,DUE DATE,,DATE OF CHECK,DAYS,CHECK AMOUNT,,INTEREST DUE,,,,,,,,
,,,,,31-Mar-Tue,15908,Apr-30- Thu,,Jul-31- Fri,92,"2,307,820.25",1.50%,"106,159.73",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"106,159.73",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,DELIVERY DATE,DR #,DUE DATE,,DATE OF CHECK,DAYS,CHECK AMOUNT,,INTEREST DUE,,,,,,,,
,,,,,07-Apr-Tue,15926,May-7- Thu,,Aug-31- Mon,116,"2,811,375.00",1.50%,"163,059.75",,,,,,,,
,,,,,21-Apr-Tue,15947,May-21- Thu,,Aug-31- Mon,102,"1,315,795.21",1.50%,"67,105.56",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"230,165.31",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,INITIAL,"6,504,365.38",,,,,,,,,,,,,,,,,,
,,balance,"100,000.00",,,,,,,,,,,,,,,,,,
,,Jul 31,"2,257,817.48",,,,,,,,,,,,,,,,,,
,,Nov 30,"2,546,547.90",,,,,,,,,,,,,,,,,,
,,Dec 31,"1,700,000.00",,,,,,,,,,,,,,,,,,